category,community,pop_est_2024,shelter_count,beds_yr_rnd_all,beds_yr_rnd_men,beds_yr_rnd_women,beds_yr_rnd_youth,beds_extr_wthr,beds_drop_in,beds_temp,beds_total,beds_per_1000_residents
Municipality,Saanich,125436,1,25,0,0,0,0,0,25,50,0.4
Municipality,Victoria,102856,9,318,53,25,15,0,0,0,411,4
Municipality,Langford,58320,0,0,0,0,0,0,0,0,0,0
Municipality,Colwood,22151,0,0,0,0,0,0,0,0,0,0
Municipality,Esquimalt,19302,0,0,0,0,0,0,0,0,0,0
Municipality,Oak Bay,18813,0,0,0,0,0,0,0,0,0,0
Municipality,Central Saanich,18150,0,0,0,0,0,0,0,0,0,0
Municipality,Sooke,17128,0,0,0,0,0,0,0,0,0,0
Municipality,North Saanich,13340,0,0,0,0,0,0,0,0,0,0
Municipality,Sidney,13288,0,0,0,0,0,0,0,0,0,0
Municipality,View Royal,12619,0,0,0,0,0,0,0,0,0,0
Electoral Area,Salt Spring Island,12448,1,30,0,0,0,0,0,0,30,2.41
Electoral Area,Southern Gulf Islands,6645,0,0,0,0,0,0,0,0,0,0
Electoral Area,Juan de Fuca,5930,0,0,0,0,0,0,0,0,0,0
Municipality,Metchosin,5331,0,0,0,0,0,0,0,0,0,0
Municipality,Highlands,2618,0,0,0,0,0,0,0,0,0,0
