community,operator_name,physical_address,coordinates,beds_yr_rnd_all,beds_yr_rnd_men,beds_yr_rnd_women,beds_yr_rnd_youth,beds_extr_wthr,beds_drop_in,beds_temp,beds_total
Saanich,Victoria Native Friendship Centre,"231 Regina Ave, Saanich, BC","-123.3888785,48.4554526",25,0,0,0,0,0,25,50
Victoria,Beacon Community Association,"1450 Elford St, Victoria, BC","-123.3416309,48.4263032",0,0,0,15,0,0,0,15
Victoria,Our Place Society,"1240 Yates St, Victoria, BC","-123.347014,48.424869",76,0,0,0,0,0,0,76
Victoria,Our Place Society,"919 Pandora Ave, Victoria, BC","-123.3577635,48.4271129",54,0,0,0,0,0,0,54
Victoria,PHS Community Services Society,"2915 Douglas St, Victoria, BC","-123.3685291,48.4419362",29,0,0,0,0,0,0,29
Victoria,SOLID Outreach Society,"1611 Quadra St, Victoria, BC","-123.3586683,48.4283078",30,0,0,0,0,0,0,30
Victoria,"The Governing Council of the Salvation Army in Canada, Victoria","525 Johnson St, Victoria, BC","-123.3696762,48.427626",53,0,0,0,0,0,0,53
Victoria,The Victoria Cool Aid Society,"2317 Dowler Pl, Victoria, BC","-123.3607004,48.4346893",15,0,0,0,0,0,0,15
Victoria,The Victoria Cool Aid Society,"535 Ellice St, Victoria, BC","-123.3716058,48.4387932",114,0,0,0,0,0,0,114
Victoria,The Victoria Cool Aid Society,"809 Burdett Ave, Victoria, BC","-123.3628273,48.4217199",0,0,25,0,0,0,0,25
Salt Spring Island,Salt Spring and Southern Gulf Islands Community Services Society,"268 Fulford-Ganges Rd, Salt Spring Island, BC ","-123.5005062,48.847073",30,0,0,0,0,0,0,30
